Stock Name,Ticker,Price,todayHigh,todayLow,52WeekHigh,Volume,ROC_Today,"ROC (5m, 12p)",Diff of ROC,actual_high,actual_low,future_high,future_low,buy_order(%),sell_order(%),bid,ask,bid_price_1,bid_qty_1,ask_price_1,ask_qty_1,bid_price_2,bid_qty_2,ask_price_2,ask_qty_2,bid_price_3,bid_qty_3,ask_price_3,ask_qty_3,bid_price_4,bid_qty_4,ask_price_4,ask_qty_4,bid_price_5,bid_qty_5,ask_price_5,ask_qty_5,is_high,is_low,gain,reverse_gain,date,slot
Arvind Limited,ARVIND,475.6,483.0,445.0,483.0,5397098,3.32,0.54,2.78,483.0,445.0,477.70001220703125,468.45001220703125,1,1,2.1,7.15,43.79,56.21,117917.0,151371.0,476.7,77.0,47695.0,49.0,476.65,21.0,477.0,352.0,476.6,168.0,477.05,30.0,476.55,73.0,47710.0,91.0,476.45,222.0,477.15,112.0,2026-05-18,slot_6
BSE (Bombay stock exchange) Ltd,BSE,4100.8,4104.0,3940.0,4104.0,3927964,3.17,0.49,2.68,4134.0,3940.0,4133.2998046875,4095.0,1,1,32.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_6
Shipping Corporation Of India Limited,SCI,343.9,351.7000122070312,325.25,368.75,22374710,3.04,-0.01,3.06,351.70001220703125,325.25,346.5,341.79998779296875,1,1,2.6,2.1,20.19,79.81,430587.0,1702091.0,342.55,343.0,342.6,3.0,342.65,111.0,342.45,40.0,,,,,,,,,,,,,2026-05-18,slot_6
Senores Pharmaceuticals Ltd,SENORES,1121.35,1194.400024414062,1048.0,1194.4,3558569,2.99,-2.55,5.54,1194.4000244140625,1048.0,1143.0,1105.300048828125,1,1,21.65,16.05,34.12,65.88,55216.0,106607.0,1107.65,3.0,1108.65,95.0,1107.5,54.0,1108.7,25.0,1107.25,10.0,1108.8,59.0,1107.2,4.0,1108.85,268.0,,,,,2026-05-18,slot_6
Gandhar Oil Refinery (India) Ltd,GANDHAR,154.98,156.4900054931641,147.5,184.42,398644,2.18,0.42,1.76,160.16000366210938,147.5,160.0800018310547,154.5,1,1,5.1,0.48,52.42,47.58,229957.0,208754.0,154.45,12.0,154.51,16.0,154.34,41.0,15452.0,7.0,154.22,19.0,154.53,14.0,154.21,1.0,184.57,15.0,154.15,33.0,154.58,500.0,2026-05-18,slot_6
Sakar Healthcare Ltd,SAKAR,773.55,789.1500244140625,731.7000122070312,789.15,1119825,1.75,5.54,-3.79,794.0,731.7000122070312,791.7999877929688,763.8499755859375,1,1,18.25,9.7,56.2,43.8,72331.0,56370.0,785.0,51.0,785.7,10.0,784.95,6.0,785.75,50.0,784.9,128.0,786.0,82.0,784.85,53.0,786.05,31.0,784.75,15.0,786.1,146.0,2026-05-18,slot_6
Acutaas Chemicals Ltd,ACUTAAS,2797.1,2818.699951171875,2714.5,2849.9,277682,1.68,-0.57,2.25,2818.699951171875,2714.5,2809.699951171875,2785.10009765625,1,1,12.6,12.0,40.31,59.69,23695.0,35093.0,2794.1,24.0,2795.7,12.0,2794.0,45.0,2795.8,16.0,2793.9,7.0,2795.9,6.0,2793.8,8.0,2796.0,12.0,2793.6,17.0,2796.1,5.0,2026-05-18,slot_6
Sun Pharmaceuticals Industries Limited,SUNPHARMA,1900.3,1902.900024414062,1865.0,1902.9,2319679,1.66,0.19,1.47,1911.0,1865.0,1911.0,1897.4000244140625,1,1,10.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_6
Aster DM Healthcare Ltd,ASTERDM,756.65,761.5999755859375,733.6500244140625,770.0,390682,1.35,-0.34,1.69,761.5999755859375,733.6500244140625,757.3499755859375,753.1500244140625,1,1,0.7,3.5,34.23,65.77,51422.0,98798.0,754.95,33.0,756.15,1.0,75490.0,5.0,755.4,68.0,754.85,33.0,755.45,67.0,754.7,22.0,758.55,28.0,,,,,2026-05-18,slot_6
Jsw Steel Limited,JSWSTEEL,1298.0,1302.0,1258.300048828125,1314.0,2457132,1.32,0.37,0.95,1302.0,1258.300048828125,1297.5,1287.800048828125,0,1,-0.5,10.2,45.2,54.8,202754.0,245842.0,1295.2,8.0,1296.3,9.0,1295.1,99.0,1295.4,368.0,1295.0,115.0,1295.7,28.0,1294.9,184.0,1295.9,28.0,1294.8,496.0,1296.0,261.0,2026-05-18,slot_6
Nrb Bearing Limited,NRBBEARING,352.6,354.7000122070312,340.0,356.95,786504,1.26,0.61,0.65,358.0,340.0,358.0,351.1000061035156,1,1,5.4,1.5,30.49,69.51,89094.0,203147.0,351.8,109.0,352.0,248.0,351.75,22.0,352.1,2.0,351.7,1.0,352.2,87.0,351.65,2.0,352.25,48.0,351.6,255.0,352.35,67.0,2026-05-18,slot_6
Ipca Laboratories Limited,IPCALAB,1640.6,1658.0,1585.0,1658.0,524600,1.25,-1.17,2.42,1658.0,1585.0,1651.0,1633.0999755859375,1,1,10.4,7.5,33.68,66.32,18370.0,36178.0,1636.5,69.0,1637.3,10.0,1636.4,7.0,1637.4,12.0,1636.3,7.0,1837.6,13.0,1636.2,26.0,1637.8,11.0,1636.1,8.0,163790.0,14.0,2026-05-18,slot_6
Solar Industries India Limited,SOLARINDS,18023.0,18089.0,17227.0,18089.0,584265,1.12,-0.08,1.21,18089.0,17227.0,18075.0,17953.0,1,1,52.0,70.0,54.61,45.39,27175.0,22588.0,18005.0,23.0,18007.0,1.0,18004.0,19.0,18011.0,1.0,18003.0,24.0,18012.0,4.0,18002.0,27.0,18013.0,15.0,18001.0,15.0,18014.0,8.0,2026-05-18,slot_6
Laurus Labs Limited,LAURUSLABS,1329.3,1333.5,1307.599975585938,1333.5,1575030,0.75,0.02,0.73,1333.5,1307.5999755859375,1329.0,1323.5999755859375,0,1,-0.3,5.7,53.67,46.33,205398.0,177302.0,1327.3,3.0,1827.5,273.0,1326.9,4.0,1327.6,361.0,1326.8,170.0,1327.7,272.0,1326.7,100.0,1327.8,350.0,,,,,2026-05-18,slot_6
Syngene International Limited,SYNGENE,464.0,466.3500061035156,453.75,728.6,926758,0.75,1.0,-0.25,469.54998779296875,453.75,469.25,464.0,1,0,5.25,0.0,34.82,65.18,80491.0,150651.0,484.15,1.0,484.5,72.0,464.1,17.0,464.55,111.0,464.05,156.0,464.6,98.0,464.0,307.0,464.65,97.0,463.95,101.0,464.7,144.0,2026-05-18,slot_6
Itc Limited,ITC,309.6,312.2999877929688,306.5,444.2,12069763,0.45,0.24,0.21,312.29998779296875,306.5,310.95001220703125,308.3999938964844,1,1,1.35,1.2,37.75,62.25,1312047.0,2163899.0,308.45,134.0,308.65,3.0,,,,,,,,,,,,,,,,,2026-05-18,slot_6
Carborundum Universal Limited,CARBORUNIV,1109.0,1166.400024414062,1090.0,1166.4,1289628,-1.25,0.47,-1.72,1166.4000244140625,1090.0,1112.6500244140625,1093.300048828125,1,1,3.65,15.7,34.76,65.24,26730.0,50167.0,1094.9,12.0,1095.5,12.0,1094.75,1.0,1095.55,35.0,1094.7,17.0,1095.6,2.0,1094.55,1.0,1095.65,7.0,1094.5,3.0,1095.7,25.0,2026-05-18,slot_6
Valiant Organics Ltd,VALIANTORG,304.05,329.5,300.1000061035156,507.8,700863,-6.44,-0.25,-6.19,329.5,296.5,304.6499938964844,296.8999938964844,1,1,0.6,7.15,26.63,73.37,24517.0,67560.0,302.75,1.0,303.2,4.0,302.7,1.0,303.25,10.0,302.6,32.0,303.3,42.0,302.55,6.0,303.35,2.0,302.5,135.0,303.4,42.0,2026-05-18,slot_6
